주차장명,소재지지번주소,주차구획수,위도,경도,읍면동_추출,행정구역_그룹,시간대,혼잡지수_v3
가야1,경기도 파주시 법원읍 가야리 380-2,33,37.8494881151,126.8661410631,법원읍,법원읍,12-15시,9.77730913135082
가야1,경기도 파주시 법원읍 가야리 380-2,33,37.8494881151,126.8661410631,법원읍,법원읍,18-21시,4.897962098214446
법원시가지 우회도로,경기도 파주시 법원읍 대능리 224-5,28,37.8478150154,126.8686865105,법원읍,법원읍,00-06시,6.299767456332388
법원시가지 우회도로,경기도 파주시 법원읍 대능리 224-5,28,37.8478150154,126.8686865105,법원읍,법원읍,06-09시,7.0180957533453565
법원시가지 우회도로,경기도 파주시 법원읍 대능리 224-5,28,37.8478150154,126.8686865105,법원읍,법원읍,12-15시,9.77730913135082
법원시가지 우회도로,경기도 파주시 법원읍 대능리 224-5,28,37.8478150154,126.8686865105,법원읍,법원읍,18-21시,4.897962098214446
광탄2,경기도 파주시 광탄면 신산리 229-4,118,37.7823891299,126.8483510466,광탄면,광탄면,00-06시,36.64581316293175
광탄2,경기도 파주시 광탄면 신산리 229-4,118,37.7823891299,126.8483510466,광탄면,광탄면,06-09시,48.02484169006323
광탄2,경기도 파주시 광탄면 신산리 229-4,118,37.7823891299,126.8483510466,광탄면,광탄면,12-15시,137.64999354767843
광탄2,경기도 파주시 광탄면 신산리 229-4,118,37.7823891299,126.8483510466,광탄면,광탄면,18-21시,26.328429845985625
적성마지,경기도 파주시 적성면 마지리 36-98,52,37.9571274437,126.9171660599,적성면,적성면,00-06시,4.701746436909548
적성마지,경기도 파주시 적성면 마지리 36-98,52,37.9571274437,126.9171660599,적성면,적성면,06-09시,5.155349143901746
적성마지,경기도 파주시 적성면 마지리 36-98,52,37.9571274437,126.9171660599,적성면,적성면,12-15시,8.424272459545405
적성마지,경기도 파주시 적성면 마지리 36-98,52,37.9571274437,126.9171660599,적성면,적성면,18-21시,3.7191109899955785
금파리,경기도 파주시 파평면 금파리 528,28,37.9245577416,126.8431047068,파평면,파평면,00-06시,1.634399298919569
금파리,경기도 파주시 파평면 금파리 528,28,37.9245577416,126.8431047068,파평면,파평면,06-09시,1.795332220142695
금파리,경기도 파주시 파평면 금파리 528,28,37.9245577416,126.8431047068,파평면,파평면,12-15시,4.194620550038918
금파리,경기도 파주시 파평면 금파리 528,28,37.9245577416,126.8431047068,파평면,파평면,18-21시,1.1809962697062786
앵골과선교 하부,경기도 파주시 야당동 469-136,39,37.7042399217,126.7623837564,야당동,운정,00-06시,139.85962828990756
앵골과선교 하부,경기도 파주시 야당동 469-136,39,37.7042399217,126.7623837564,야당동,운정,06-09시,131.15411921120486
앵골과선교 하부,경기도 파주시 야당동 469-136,39,37.7042399217,126.7623837564,야당동,운정,12-15시,67.77905888253721
앵골과선교 하부,경기도 파주시 야당동 469-136,39,37.7042399217,126.7623837564,야당동,운정,18-21시,107.43072866526477
문발산업단지 노외,경기도 파주시 신촌동 700,144,37.7307192968,126.7088345813,신촌동,금촌,00-06시,57.02432553524429
문발산업단지 노외,경기도 파주시 신촌동 700,144,37.7307192968,126.7088345813,신촌동,금촌,06-09시,55.65659890678894
문발산업단지 노외,경기도 파주시 신촌동 700,144,37.7307192968,126.7088345813,신촌동,금촌,12-15시,35.4833995442708
문발산업단지 노외,경기도 파주시 신촌동 700,144,37.7307192968,126.7088345813,신촌동,금촌,18-21시,47.80709104637571
심학산공원 공영,경기도 파주시 동패동 2117,383,37.7076263394,126.7180878447,동패동,운정,00-06시,139.85962828990756
심학산공원 공영,경기도 파주시 동패동 2117,383,37.7076263394,126.7180878447,동패동,운정,06-09시,131.15411921120486
심학산공원 공영,경기도 파주시 동패동 2117,383,37.7076263394,126.7180878447,동패동,운정,12-15시,67.77905888253721
심학산공원 공영,경기도 파주시 동패동 2117,383,37.7076263394,126.7180878447,동패동,운정,18-21시,107.43072866526477
금촌 1-8,경기도 파주시 아동동 358-3,24,37.7665495627,126.7796181268,아동동,금촌,00-06시,57.02432553524429
금촌 1-8,경기도 파주시 아동동 358-3,24,37.7665495627,126.7796181268,아동동,금촌,06-09시,55.65659890678894
금촌 1-8,경기도 파주시 아동동 358-3,24,37.7665495627,126.7796181268,아동동,금촌,12-15시,35.4833995442708
금촌 1-8,경기도 파주시 아동동 358-3,24,37.7665495627,126.7796181268,아동동,금촌,18-21시,47.80709104637571
금촌5,경기도 파주시 금촌동 948-1,20,37.7578459898,126.7742420282,금촌동,금촌,00-06시,57.02432553524429
금촌5,경기도 파주시 금촌동 948-1,20,37.7578459898,126.7742420282,금촌동,금촌,06-09시,55.65659890678894
금촌5,경기도 파주시 금촌동 948-1,20,37.7578459898,126.7742420282,금촌동,금촌,12-15시,35.4833995442708
금촌5,경기도 파주시 금촌동 948-1,20,37.7578459898,126.7742420282,금촌동,금촌,18-21시,47.80709104637571
금촌 2-16,경기도 파주시 금촌동 938-18,13,37.7587704828,126.7721554791,금촌동,금촌,00-06시,57.02432553524429
금촌 2-16,경기도 파주시 금촌동 938-18,13,37.7587704828,126.7721554791,금촌동,금촌,06-09시,55.65659890678894
금촌 2-16,경기도 파주시 금촌동 938-18,13,37.7587704828,126.7721554791,금촌동,금촌,12-15시,35.4833995442708
금촌 2-16,경기도 파주시 금촌동 938-18,13,37.7587704828,126.7721554791,금촌동,금촌,18-21시,47.80709104637571
문산역 앞,경기도 파주시 문산읍 문산리 17-134,17,37.8549061756,126.7868502659,문산읍,문산읍,00-06시,219.81638701453755
문산역 앞,경기도 파주시 문산읍 문산리 17-134,17,37.8549061756,126.7868502659,문산읍,문산읍,06-09시,240.58692052710327
문산역 앞,경기도 파주시 문산읍 문산리 17-134,17,37.8549061756,126.7868502659,문산읍,문산읍,12-15시,277.90602289056534
문산역 앞,경기도 파주시 문산읍 문산리 17-134,17,37.8549061756,126.7868502659,문산읍,문산읍,18-21시,196.61583430167468
봉일천 공영,경기도 파주시 조리읍 봉일천리 188-4,193,37.7450303645,126.8058306744,조리읍,조리읍,00-06시,109.86028986239351
봉일천 공영,경기도 파주시 조리읍 봉일천리 188-4,193,37.7450303645,126.8058306744,조리읍,조리읍,06-09시,114.69188599886007
봉일천 공영,경기도 파주시 조리읍 봉일천리 188-4,193,37.7450303645,126.8058306744,조리읍,조리읍,12-15시,106.8112602545567
봉일천 공영,경기도 파주시 조리읍 봉일천리 188-4,193,37.7450303645,126.8058306744,조리읍,조리읍,18-21시,77.38540371047804
문산1,경기도 파주시 문산읍 문산리 37-5,50,37.8560213431,126.7839886681,문산읍,문산읍,00-06시,219.81638701453755
문산1,경기도 파주시 문산읍 문산리 37-5,50,37.8560213431,126.7839886681,문산읍,문산읍,06-09시,240.58692052710327
문산1,경기도 파주시 문산읍 문산리 37-5,50,37.8560213431,126.7839886681,문산읍,문산읍,12-15시,277.90602289056534
문산1,경기도 파주시 문산읍 문산리 37-5,50,37.8560213431,126.7839886681,문산읍,문산읍,18-21시,196.61583430167468
산내마을2,경기도 파주시 목동동 953,305,37.7266640858,126.7362708629,목동동,운정,00-06시,139.85962828990756
산내마을2,경기도 파주시 목동동 953,305,37.7266640858,126.7362708629,목동동,운정,06-09시,131.15411921120486
산내마을2,경기도 파주시 목동동 953,305,37.7266640858,126.7362708629,목동동,운정,12-15시,67.77905888253721
산내마을2,경기도 파주시 목동동 953,305,37.7266640858,126.7362708629,목동동,운정,18-21시,107.43072866526477
금촌2-8,경기도 파주시 금촌동 1025,128,37.7494221161,126.767502288,금촌동,금촌,00-06시,57.02432553524429
금촌2-8,경기도 파주시 금촌동 1025,128,37.7494221161,126.767502288,금촌동,금촌,06-09시,55.65659890678894
금촌2-8,경기도 파주시 금촌동 1025,128,37.7494221161,126.767502288,금촌동,금촌,12-15시,35.4833995442708
금촌2-8,경기도 파주시 금촌동 1025,128,37.7494221161,126.767502288,금촌동,금촌,18-21시,47.80709104637571
금촌2-17,경기도 파주시 금촌동 771-2,45,37.7586568155,126.7771176501,금촌동,금촌,00-06시,57.02432553524429
금촌2-17,경기도 파주시 금촌동 771-2,45,37.7586568155,126.7771176501,금촌동,금촌,06-09시,55.65659890678894
금촌2-17,경기도 파주시 금촌동 771-2,45,37.7586568155,126.7771176501,금촌동,금촌,12-15시,35.4833995442708
금촌2-17,경기도 파주시 금촌동 771-2,45,37.7586568155,126.7771176501,금촌동,금촌,18-21시,47.80709104637571
